Account,total_pnl,avg_pnl,total_trades,win_rate,avg_trade_size_usd,total_volume_usd,total_fees,frequency_segment,size_segment,performance_segment,cluster
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,12.130967972884141,8519,35.34452400516492,517.5289235825802,4408828.9,1230.8465211819,Frequent Trader,Small Size Trader,Inconsistent Trader,1
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,155.58931373806246,4356,48.62258953168045,9084.699093204776,39572949.25,8025.99239419,Frequent Trader,Large Size Trader,Inconsistent Trader,1
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,40.740489150316456,7584,36.03639240506329,17098.171054852322,129672529.28,40724.467403,Frequent Trader,Large Size Trader,Inconsistent Trader,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,68.68441935403726,12236,40.119320039228505,34396.58028440667,420876556.36,76424.64289169,Frequent Trader,Large Size Trader,Inconsistent Trader,2
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,111.51919668923077,975,43.17948717948718,746.7256512820513,728057.51,186.8360769324,Infrequent Trader,Small Size Trader,Inconsistent Trader,1
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,270.0349471163522,1590,34.59119496855346,7216.667245283019,11474500.92,1551.43726629,Infrequent Trader,Large Size Trader,Inconsistent Trader,1
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,360539.510029,253.1878581664326,1424,30.337078651685395,2080.390077247191,2962475.47,281.49884416,Infrequent Trader,Small Size Trader,Inconsistent Trader,1
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,38.3195599627009,9893,81.08763772364298,2600.7780491256444,25729497.24,2595.25914168,Frequent Trader,Small Size Trader,Consistent Winner,1
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,9.557692781911483,1559,45.22129570237332,3748.8675112251444,5844484.45,780.21690296,Infrequent Trader,Large Size Trader,Inconsistent Trader,1
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,-36.43145507085416,4601,38.274288198217775,2204.6855314062163,10143758.13,1579.38545192,Frequent Trader,Small Size Trader,Inconsistent Trader,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,34.2823955552067,1911,33.01936159079016,6279.002286760858,11999173.37,3384.88221858,Infrequent Trader,Large Size Trader,Inconsistent Trader,1
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,2.928191023869849,14998,26.19682624349913,820.4285131350847,12304786.84,3792.54309547,Frequent Trader,Small Size Trader,Inconsistent Trader,1
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,41.47409637418087,3052,28.538663171690693,3601.689298820446,10992355.74,2821.95879926,Infrequent Trader,Large Size Trader,Inconsistent Trader,1
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,6.81210350887536,15605,34.57866068567767,1273.1950003204101,19868207.98,2287.9554331042,Frequent Trader,Small Size Trader,Inconsistent Trader,1
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,174.6918088057554,417,57.31414868105516,2066.6892086330936,861809.4,189.93800451,Infrequent Trader,Small Size Trader,Consistent Winner,1
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,120.50731710657195,563,40.852575488454704,2979.4417761989343,1677425.72,548.72926461,Infrequent Trader,Small Size Trader,Inconsistent Trader,1
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,40.746875941947565,534,32.20973782771536,8330.193370786517,4448323.26,541.7456094464,Infrequent Trader,Large Size Trader,Inconsistent Trader,1
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,145.48174829898866,14733,33.713432430597976,3837.885375008484,56543565.23,15995.31825182,Frequent Trader,Large Size Trader,Inconsistent Trader,0
0xb899e522b5715391ae1d4f137653e7906c5e2115,22488.500821,4.648305254443986,4838,43.861099627945435,22504.555828854896,108877041.1,28643.173715,Frequent Trader,Large Size Trader,Inconsistent Trader,2
0xbaaaf6571ab7d571043ff1e313a9609a10637864,940163.80622,44.364090516232544,21192,46.75821064552662,3210.472831257078,68036340.24,8596.705666219,Frequent Trader,Small Size Trader,Inconsistent Trader,0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,220519.061853,83.49831952025748,2641,32.75274517228323,7852.098337750852,20737391.71,4773.09848443,Infrequent Trader,Large Size Trader,Inconsistent Trader,1
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,836080.553077,20.806304824731235,40184,42.8230141349791,1844.2118863229146,74107810.44,13352.89970895,Frequent Trader,Small Size Trader,Inconsistent Trader,0
